locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
5622,"NSIT Dwarka, Delhi - CPCB",Delhi,IN,2021-11-06T23:00:00+00:00,2021-11-07T04:30:00+05:30,pm25,233.7,µg/m³,28.60909,77.0325413
6934,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,335,µg/m³,28.498571,77.26484
6957,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,345,µg/m³,28.58028,77.233829
5630,"Shadipur, Delhi - CPCB",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,232.7,µg/m³,28.6514781,77.1473105
11603,"Chandni Chowk, Delhi - IITM",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,287.5,µg/m³,28.656756,77.227234
6356,"Pusa, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,339.74,µg/m³,28.639645,77.146262
6931,"Dwarka-Sector 8, Delhi - DPCC ",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,279,µg/m³,28.5710274,77.0719006
8915,"Wazirpur, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,528,µg/m³,28.699793,77.165453
6358,"Mandir Marg, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,394,µg/m³,28.636429,77.201067
8475,"Sonia Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,554,µg/m³,28.710508,77.249485
10489,"ITO, Delhi - CPCB",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,458,µg/m³,28.628624,77.24106
6960,"Patparganj, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,422,µg/m³,28.623763,77.287209
8239,"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,387,µg/m³,28.530785,77.271255
5509,"Anand Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,412,µg/m³,28.647622,77.315809
10831,"Rohini, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,466,µg/m³,28.732528,77.11992
5627,"CRRI Mathura Road, Delhi - IMD",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,372.08,µg/m³,28.5512005,77.2735737
11607,"Lodhi Road, Delhi - IITM",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,1074.3,µg/m³,28.588333,77.221667
6357,"Punjabi Bagh, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,445,µg/m³,28.674045,77.131023
10485,"Narela, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,515,µg/m³,28.822836,77.101981
5626,"DTU, Delhi - CPCB",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,356.1,µg/m³,28.7500499,77.1112615
10488,"Najafgarh, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,204,µg/m³,28.570173,76.933762
8917,"Ashok Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,471,µg/m³,28.695381,77.181665
10486,"Mundka, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,395,µg/m³,28.684678,77.076574
5586,"Sirifort, Delhi - CPCB",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,325,µg/m³,28.5504249,77.2159377
5634,"Lodhi Road, Delhi - IMD",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,298.4,µg/m³,28.5918245,77.2273074
5541,"Burari Crossing, Delhi - IMD",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,315.31,µg/m³,28.7256504,77.2011573
8472,"Bawana, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,383,µg/m³,28.7762,77.051074
6929,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,374,µg/m³,28.611281,77.237738
6938,"Vivek Vihar, Delhi - DPCC",Delhi,IN,2021-11-06T22:45:00+00:00,2021-11-07T04:15:00+05:30,pm25,583,µg/m³,28.672342,77.31526
5610,"North Campus, DU, Delhi - IMD",Delhi,IN,2021-11-06T22:30:00+00:00,2021-11-07T04:00:00+05:30,pm25,442.19,µg/m³,28.6573814,77.1585447
5630,"Shadipur, Delhi - CPCB",Delhi,IN,2021-11-06T22:30:00+00:00,2021-11-07T04:00:00+05:30,pm25,232.7,µg/m³,28.6514781,77.1473105
5622,"NSIT Dwarka, Delhi - CPCB",Delhi,IN,2021-11-06T22:30:00+00:00,2021-11-07T04:00:00+05:30,pm25,233.7,µg/m³,28.60909,77.0325413
11603,"Chandni Chowk, Delhi - IITM",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,276.6,µg/m³,28.656756,77.227234
10486,"Mundka, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,395,µg/m³,28.684678,77.076574
10831,"Rohini, Delhi - DPCC",Delhi,IN,2021-11-06T22:15:00+00:00,2021-11-07T03:45:00+05:30,pm25,466,µg/m³,28.732528,77.11992
