locationId,value,latitude,longitude,date,time
6931,329.0,28.5710274,77.0719006,2021-11-06,21:45:00
6957,361.0,28.58028,77.233829,2021-11-06,21:45:00
6358,358.0,28.636429,77.201067,2021-11-06,21:45:00
10484,335.0,28.531346,77.190156,2021-11-06,21:45:00
8472,388.0,28.7762,77.051074,2021-11-06,21:45:00
6357,443.0,28.674045,77.131023,2021-11-06,21:45:00
8475,548.0,28.710508,77.249485,2021-11-06,21:45:00
5650,240.3,28.5627763,77.1180053,2021-11-06,21:45:00
10485,512.0,28.822836,77.101981,2021-11-06,21:45:00
6938,597.0,28.672342,77.31526,2021-11-06,21:45:00
6356,323.02,28.639645,77.146262,2021-11-06,21:45:00
5630,269.4,28.6514781,77.1473105,2021-11-06,21:30:00
5622,262.9,28.60909,77.0325413,2021-11-06,21:30:00
5610,410.06,28.6573814,77.1585447,2021-11-06,21:30:00
10484,331.0,28.531346,77.190156,2021-11-06,21:15:00
11607,1074.3,28.588333,77.221667,2021-11-06,21:15:00
6929,423.0,28.611281,77.237738,2021-11-06,21:15:00
6957,361.0,28.58028,77.233829,2021-11-06,21:15:00
5626,330.2,28.7500499,77.1112615,2021-11-06,21:15:00
5586,318.0,28.5504249,77.2159377,2021-11-06,21:15:00
6356,344.56,28.639645,77.146262,2021-11-06,21:15:00
6359,431.2,28.6811736,77.3025234,2021-11-06,21:15:00
10831,437.0,28.732528,77.11992,2021-11-06,21:15:00
6931,329.0,28.5710274,77.0719006,2021-11-06,21:15:00
10486,383.0,28.684678,77.076574,2021-11-06,21:15:00
5509,507.0,28.647622,77.315809,2021-11-06,21:15:00
10485,538.0,28.822836,77.101981,2021-11-06,21:15:00
6938,597.0,28.672342,77.31526,2021-11-06,21:15:00
6932,545.0,28.815329,77.15301,2021-11-06,21:15:00
6960,469.0,28.623763,77.287209,2021-11-06,21:15:00
5634,303.4,28.5918245,77.2273074,2021-11-06,21:15:00
5570,268.6,28.4706914,77.1099364,2021-11-06,21:15:00
8239,385.0,28.530785,77.271255,2021-11-06,21:15:00
8235,500.0,28.73282,77.170633,2021-11-06,21:15:00
6934,382.0,28.498571,77.26484,2021-11-06,21:15:00
8365,337.0,28.56789,77.250515,2021-11-06,21:15:00
8475,548.0,28.710508,77.249485,2021-11-06,21:15:00
8915,495.0,28.699793,77.165453,2021-11-06,21:15:00
8472,388.0,28.7762,77.051074,2021-11-06,21:15:00
8917,492.0,28.695381,77.181665,2021-11-06,21:15:00
10488,284.0,28.570173,76.933762,2021-11-06,21:15:00
11603,315.8,28.656756,77.227234,2021-11-06,21:15:00
5541,369.25,28.7256504,77.2011573,2021-11-06,21:15:00
5650,266.62,28.5627763,77.1180053,2021-11-06,21:15:00
5610,446.29,28.6573814,77.1585447,2021-11-06,21:00:00
6357,403.0,28.674045,77.131023,2021-11-06,21:00:00
7044,97.0,28.563262,77.186937,2021-11-06,21:00:00
5630,334.5,28.6514781,77.1473105,2021-11-06,21:00:00
6358,433.0,28.636429,77.201067,2021-11-06,21:00:00
10485,538.0,28.822836,77.101981,2021-11-06,20:45:00
6359,431.2,28.6811736,77.3025234,2021-11-06,20:45:00
5622,268.1,28.60909,77.0325413,2021-11-06,20:45:00
6932,545.0,28.815329,77.15301,2021-11-06,20:45:00
5586,319.0,28.5504249,77.2159377,2021-11-06,20:45:00
10486,420.0,28.684678,77.076574,2021-11-06,20:45:00
6929,449.0,28.611281,77.237738,2021-11-06,20:45:00
5634,330.04,28.5918245,77.2273074,2021-11-06,20:45:00
10484,331.0,28.531346,77.190156,2021-11-06,20:45:00
10488,284.0,28.570173,76.933762,2021-11-06,20:45:00
8472,464.0,28.7762,77.051074,2021-11-06,20:45:00
8917,492.0,28.695381,77.181665,2021-11-06,20:45:00
5541,352.12,28.7256504,77.2011573,2021-11-06,20:45:00
5626,330.2,28.7500499,77.1112615,2021-11-06,20:45:00
6938,539.0,28.672342,77.31526,2021-11-06,20:45:00
10831,438.0,28.732528,77.11992,2021-11-06,20:45:00
5509,488.0,28.647622,77.315809,2021-11-06,20:45:00
6931,351.0,28.5710274,77.0719006,2021-11-06,20:45:00
6960,493.0,28.623763,77.287209,2021-11-06,20:45:00
8475,541.0,28.710508,77.249485,2021-11-06,20:45:00
7044,97.0,28.563262,77.186937,2021-11-06,20:45:00
8239,364.0,28.530785,77.271255,2021-11-06,20:45:00
6934,376.0,28.498571,77.26484,2021-11-06,20:45:00
6358,433.0,28.636429,77.201067,2021-11-06,20:45:00
8915,532.0,28.699793,77.165453,2021-11-06,20:45:00
6357,403.0,28.674045,77.131023,2021-11-06,20:45:00
6356,361.85,28.639645,77.146262,2021-11-06,20:45:00
11603,310.3,28.656756,77.227234,2021-11-06,20:45:00
5630,334.5,28.6514781,77.1473105,2021-11-06,20:30:00
5610,497.06,28.6573814,77.1585447,2021-11-06,20:30:00
5622,268.1,28.60909,77.0325413,2021-11-06,20:30:00
11607,1074.3,28.588333,77.221667,2021-11-06,20:30:00
5650,286.42,28.5627763,77.1180053,2021-11-06,20:29:00
5509,488.0,28.647622,77.315809,2021-11-06,20:15:00
8475,541.0,28.710508,77.249485,2021-11-06,20:15:00
10484,337.0,28.531346,77.190156,2021-11-06,20:15:00
8915,532.0,28.699793,77.165453,2021-11-06,20:15:00
6934,376.0,28.498571,77.26484,2021-11-06,20:15:00
7044,97.0,28.563262,77.186937,2021-11-06,20:15:00
6960,493.0,28.623763,77.287209,2021-11-06,20:15:00
6931,351.0,28.5710274,77.0719006,2021-11-06,20:15:00
8472,464.0,28.7762,77.051074,2021-11-06,20:15:00
8917,480.0,28.695381,77.181665,2021-11-06,20:15:00
8235,510.0,28.73282,77.170633,2021-11-06,20:15:00
5634,350.87,28.5918245,77.2273074,2021-11-06,20:15:00
5586,332.0,28.5504249,77.2159377,2021-11-06,20:15:00
5650,296.79,28.5627763,77.1180053,2021-11-06,20:15:00
10485,471.0,28.822836,77.101981,2021-11-06,20:15:00
6359,359.8,28.6811736,77.3025234,2021-11-06,20:15:00
6938,539.0,28.672342,77.31526,2021-11-06,20:15:00
6932,503.0,28.815329,77.15301,2021-11-06,20:15:00
10486,420.0,28.684678,77.076574,2021-11-06,20:15:00
6929,449.0,28.611281,77.237738,2021-11-06,20:15:00
5626,341.8,28.7500499,77.1112615,2021-11-06,20:15:00
10831,438.0,28.732528,77.11992,2021-11-06,20:15:00
8239,364.0,28.530785,77.271255,2021-11-06,20:15:00
6356,363.15,28.639645,77.146262,2021-11-06,20:15:00
6357,403.0,28.674045,77.131023,2021-11-06,20:15:00
6957,405.0,28.58028,77.233829,2021-11-06,20:15:00
8365,365.0,28.56789,77.250515,2021-11-06,20:15:00
